Source Link,Comment,Tag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/reel/622287500068397,সহবাস কইরা দিলা খালাম্মারে,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/reel/945628863606403,খুব ভাল লাগল আপু আপনার কথা গুলা শুনে,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/reel/945628863606403,সাহস থাকলে একদিন মেকআপ ছাড়া সামনে আসো তো?,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/sawrab.chowdhury/posts/pfbid024raC9rhG21uTw8QZ2qQbp6TktLACyiMXM7144GVDR63yiwX9SBQkNfPmYkLamoSFl,ভাই মালটাকে নাইট ক্লাবে নিয়ে যান একটু😀,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/reel/286918740812989,"আল্লাহ তা,আলা আমাদের যে হুকুম করেছেন সেইভাবেই চললে কিন্তু নারীরা আর সমান অধিকারটা চায় না।কিন্তু আমরা সেই নিয়মে চলি কোথায়??",neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/share/r/yu7E6beRdekPuNKi/,খুব সুন্দর 👍,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/watch/?v=3073230152929275,তার লিখিত বই গুলো তোমার মা মেয়ে ও বোন কে পড়তে দিও,neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/watch/?v=3073230152929275,ওহ। আরেকজন খদ্দের পাওয়া গেল।,negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/sawrab.chowdhury/posts/pfbid025ANiRMzj23N567kcNJp7U6Wxg2JyPHERNWv5A9PrwCK9ZDR2HKngJmecQa5ZAeFZl,"মাশা-আল্লাহ, লেখাটা পড়ে ভালো লাগলো।",positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/sawrab.chowdhury/posts/pfbid025ANiRMzj23N567kcNJp7U6Wxg2JyPHERNWv5A9PrwCK9ZDR2HKngJmecQa5ZAeFZl,"দেখবে কেউ না কেউ ওদের পক্ষে দাঁড়িয়ে যাবে!আমি এরকম কয়েকজন কে চিনি যারা বাইরে এরকম বেলাল্লাপনাকে সমর্থন করে,ঘরে তাদের বউ মেয়েরা বোরকা হিজাব পরে।সমাজ নষ্টের জন্য উনাদের অবদানও কম নয়!",neutral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.facebook.com/reel/952581419600762,অসাধারণ লেখা কবিকে অসংখ্য ধন্যবাদ আগামী দিনের পথ চলার আমিন,positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
